Jurisdiction,Surcharge,Fuel Type,Total Miles,Taxable Miles,MPG,Taxable Gal,Tax Paid Gal,Net Taxable Gal,Rate,Tax,Interest,Total
AL,,2. Diesel,526,526,6.68,79,191,-112,0.3100,-34.72,0.00,-34.72
AR,,2. Diesel,1088,1088,6.68,163,297,-134,0.2850,-38.19,0.00,-38.19
AZ,,2. Diesel,18061,18061,6.68,2704,4901,-2197,0.2600,-571.22,0.00,-571.22
CA,,2. Diesel,36797,36797,6.68,5509,1511,3998,0.9710,3882.06,0.00,3882.06
CO,,2. Diesel,138,138,6.68,21,0,21,0.3250,6.83,0.00,6.83
GA,,2. Diesel,419,419,6.68,63,0,63,0.3710,23.37,0.00,23.37
IA,,2. Diesel,2201,2201,6.68,329,153,176,0.3250,57.20,0.00,57.20
ID,,2. Diesel,818,818,6.68,122,156,-34,0.3200,-10.88,0.00,-10.88
IL,,2. Diesel,1612,1612,6.68,241,0,241,0.7380,177.86,0.00,177.86
IN,,2. Diesel,1077,1077,6.68,161,0,161,0.6100,98.21,0.00,98.21
KS,,2. Diesel,1136,1136,6.68,170,0,170,0.2600,44.20,0.00,44.20
KY,,2. Diesel,1129,1129,6.68,169,411,-242,0.2200,-53.24,0.00,-53.24
KY,Surcharge,2. Diesel,0,0,0.00,169,0,169,0.1050,17.75,0.00,17.75
LA,,2. Diesel,354,354,6.68,53,211,-158,0.2000,-31.60,0.00,-31.60
MN,,2. Diesel,247,247,6.68,37,0,37,0.3260,12.06,0.00,12.06
MO,,2. Diesel,2448,2448,6.68,366,155,211,0.2950,62.25,0.00,62.25
MS,,2. Diesel,377,377,6.68,56,0,56,0.2100,11.76,0.00,11.76
NE,,2. Diesel,6790,6790,6.68,1016,1626,-610,0.3180,-193.98,0.00,-193.98
NM,,2. Diesel,5645,5645,6.68,845,815,30,0.2100,6.30,0.00,6.30
NV,,2. Diesel,15676,15676,6.68,2347,2849,-502,0.2700,-135.54,0.00,-135.54
OH,,2. Diesel,1270,1270,6.68,190,201,-11,0.4700,-5.17,0.00,-5.17
OK,,2. Diesel,1572,1572,6.68,235,179,56,0.1900,10.64,0.00,10.64
OR,,2. Diesel,2923,2923,6.68,438,684,-246,0.0000,-0.00,0.00,-0.00
PA,,2. Diesel,251,251,6.68,38,0,38,0.7410,28.16,0.00,28.16
TN,,2. Diesel,376,376,6.68,56,0,56,0.2700,15.12,0.00,15.12
TX,,2. Diesel,10517,10517,6.68,1574,2111,-537,0.2000,-107.40,0.00,-107.40
UT,,2. Diesel,4107,4107,6.68,615,456,159,0.3790,60.26,0.00,60.26
WA,,2. Diesel,1371,1371,6.68,205,0,205,0.5840,119.72,0.00,119.72
WV,,2. Diesel,104,104,6.68,16,164,-148,0.3570,-52.84,0.00,-52.84
WY,,2. Diesel,5847,5847,6.68,875,1636,-761,0.2400,-182.64,0.00,-182.64
TOTAL,,,124877,124877,,18693,18707,-14,,3216.33,0.00,3216.33
